,1. open,2. high,3. low,4. close,5. volume,prev_high,prev_low,UBANDS,LBANDS,SMA,RSI
11/29/2002,0,7.505,0,6.845,8546,,,,,,
12/31/2002,6.845,9.66,0,9.05,272716,7.505,0,,,,
1/31/2003,9.05,11.785,8.56,9.29,326672,9.66,0,,,,
2/28/2003,9.535,9.66,0,8.9,75388,11.785,8.56,,,,
3/31/2003,8.83,9.17,0,8.315,25588,9.66,0,,,,
4/30/2003,0,8.805,0,8.68,8636,9.17,0,,,8.5133,
5/30/2003,0,10.22,0,9.315,32418,8.805,0,,,8.925,
6/30/2003,9.29,11.005,8.315,10.075,326464,10.22,0,,,9.0958,
7/31/2003,9.34,17.36,9.34,13.01,843832,11.005,8.315,,,9.7158,
8/29/2003,12.985,14.06,0,11.885,250948,17.36,9.34,,,10.2133,
9/30/2003,11.25,13.205,10.515,11.175,118880,14.06,0,,,10.69,
10/31/2003,11.98,14.45,0,11.74,243940,13.205,10.515,,,11.2,
11/28/2003,11.565,14.55,0,12.08,226778,14.45,0,,,11.6608,
12/31/2003,12.225,18.95,0,16.065,908956,14.55,0,,,12.6592,
1/30/2004,16.115,16.875,0,12.4,310252,18.95,0,,,12.5575,65.0095
2/27/2004,0,13.67,0,11.98,91200,16.875,0,,,12.5733,63.4584
3/31/2004,12.35,12.445,0,11.32,80496,13.67,0,,,12.5975,60.9955
4/30/2004,11.64,13.255,0,12.275,94714,12.445,0,,,12.6867,63.2199
5/31/2004,12.005,14.67,11.495,13.35,224824,13.255,0,,,12.8983,65.5982
6/30/2004,13.205,15.11,12.84,13.815,132382,14.67,11.495,15.4344,6.7221,12.5233,66.6041
7/30/2004,14.185,14.87,12.275,12.69,209110,15.11,12.84,15.3164,7.4246,12.5717,61.889
8/31/2004,12.52,14.085,10.515,13.06,204076,14.87,12.275,15.4315,7.7105,12.7517,62.8213
9/30/2004,13.105,16.63,12.84,14.5,736158,14.085,10.515,15.7439,7.9191,13.2817,66.2784
10/29/2004,14.67,16.26,13.96,14.745,370946,16.63,12.84,15.9896,8.2579,13.6933,66.8433
11/30/2004,15.26,20.27,14.77,17.575,2634870,16.26,13.96,16.7255,8.448,14.3975,72.5613
12/31/2004,17.75,18.5,16.1,17.475,1449824,20.27,14.77,17.2788,8.7742,15.0075,72.0882
1/31/2005,17.625,18,16.525,16.725,942124,18.5,16.1,17.5819,9.2121,15.68,68.482
2/28/2005,16.95,21,16,17.6,6960894,18,16.525,18.048,9.4985,16.4367,70.3458
3/31/2005,18.15,20.05,16.125,17.575,4116664,21,16,18.5665,9.4365,16.9492,70.2181
4/29/2005,17.95,20.95,17.6,19.85,3591618,20.05,16.125,19.5134,9.2861,17.8,74.718
5/31/2005,20.35,29.7,19.85,28.6,20062050,20.95,17.6,23.1044,7.4376,19.6375,84.45
6/30/2005,29.1,31.2,26.2,26.975,17032434,29.7,19.85,25.1949,6.8706,21.2208,78.4132
7/29/2005,26.15,30.5,25.15,28.275,6681508,31.2,26.2,27.2431,6.4419,23.1458,79.6655
8/31/2005,28.9,36.675,25.95,36.675,12746720,30.5,25.15,31.3811,4.3649,26.325,85.5135
9/30/2005,38,43.7,25.925,27.725,28634882,36.675,25.95,32.5512,4.7273,28.0167,64.2962
10/31/2005,27.75,31,23.8,27.625,6424760,43.7,25.925,33.506,5.337,29.3125,64.1048
11/30/2005,29,32.875,27.775,31.325,6396646,31,23.8,34.8988,5.9447,29.7667,67.9108
12/30/2005,29.55,33.65,29.15,31.175,5714612,32.875,27.775,36.0591,6.6744,30.4667,67.5979
1/31/2006,32.2,37,31.05,35.575,15403834,33.65,29.15,37.9197,7.0363,31.6833,71.7151
2/28/2006,33.275,37.225,32.1,34.15,12172172,37,31.05,39.1966,7.7929,31.2625,68.6717
3/31/2006,34,36.675,30.725,32.575,6694926,37.225,32.1,39.8427,9.1353,32.0708,65.3698
4/28/2006,32.575,41.325,30,33.725,11528610,36.675,30.725,40.4354,10.6091,33.0875,66.6314
5/31/2006,35.85,47.95,31.5,44.625,74250974,41.325,30,43.2153,10.8417,35.3042,75.6765
6/30/2006,45.4,50.9,26.575,33.75,105408030,47.95,31.5,43.3819,12.5756,35.7333,58.6072
7/31/2006,33.825,34.675,25.5,29.45,14801574,50.9,26.575,43.2229,13.9221,34.7125,53.4715
8/31/2006,29.6,35.6,28.625,32.25,17082682,34.675,25.5,43.1143,15.5082,34.3958,56.1652
9/29/2006,32.5,44.25,30.9,38.95,96643870,35.6,28.625,43.5558,17.2892,35.4583,61.8557
10/31/2006,39.4,41.925,35.85,35.975,21406176,44.25,30.9,43.274,19.4085,35.8333,58.2403
11/30/2006,35.875,42,33.625,39.55,22529130,41.925,35.85,43.0765,21.8035,34.9875,61.1769
12/29/2006,39.5,40.375,35.75,37.525,7740138,42,33.625,42.4606,24.1869,35.6167,58.6606
1/31/2007,37.9,44.2,37.65,39.6,19221102,40.375,35.75,43.1305,24.617,37.3083,60.4555
2/28/2007,40.075,44.5,33.175,35.5,10621982,44.2,37.65,43.0161,25.5839,37.85,55.3424
3/30/2007,36,36.8,29.5,30.55,2076352,44.5,33.175,42.8678,25.9597,36.45,49.8596
4/30/2007,29.8,34.5,28.5,31.6,1670488,36.8,29.5,42.632,25.688,35.7208,50.9692
5/31/2007,32.1,36.95,30.35,33.95,4145336,34.5,28.5,42.4157,26.5268,34.7875,53.4521
6/29/2007,34.5,46.7,34.4,41.775,35983996,36.95,30.35,43.0785,27.279,35.4958,60.6057
7/31/2007,42,45,37.5,39.275,11506442,46.7,34.4,43.4604,27.6921,35.4417,57.562
8/31/2007,38.275,38.875,31.15,34.225,2765466,45,37.5,43.3811,28.0764,35.2292,51.8927
9/28/2007,34.85,38.85,33.55,36.9,7039752,38.875,31.15,43.4638,28.1262,36.2875,54.4518
10/31/2007,37.45,57.5,31,56.65,28544202,38.85,33.55,48.7603,25.0797,40.4625,67.9905
11/30/2007,57.7,82,53,75.05,16004332,57.5,31,59.2713,18.8162,47.3125,75.3436
12/31/2007,78.125,108.075,77.475,108.075,4820228,82,53,78.8345,6.688,58.3625,82.9252
1/31/2008,113.4,127,86.3,99.125,6607824,108.075,77.475,89.147,1.8255,68.3375,76.0962
2/29/2008,104,118.7,91.95,92.725,4437532,127,86.3,96.2913,0.5787,78.0875,71.5581
3/31/2008,89.025,91,50.8,53.55,1108578,118.7,91.95,96.7311,2.5489,80.8625,51.3655
4/30/2008,54.4,63,51,58.7,1187582,91,50.8,97.5082,4.4168,81.2042,53.2338
5/30/2008,60,65.75,52.5,57.35,3851358,63,51,98.1688,5.5962,78.2542,52.6627
6/30/2008,57.5,57.5,42.075,44.25,2097438,65.75,52.5,98.1523,6.4402,67.6167,47.3537
7/31/2008,44.25,60.5,43.575,56.325,1503212,57.5,42.075,98.6401,7.6299,60.4833,52.1428
8/29/2008,56.3,59.5,51.775,57.9,357436,60.5,43.575,99.1245,9.183,54.6792,52.7466
9/30/2008,52.5,59.65,38.275,43.075,395972,59.5,51.775,99.0984,9.5566,52.9333,46.7656
10/31/2008,43.625,44.25,19.25,32.875,1193994,59.65,38.275,99.202,9.1905,48.6292,43.141
11/28/2008,33.75,42.5,31.575,32.5,929474,44.25,19.25,99.1021,9.4854,44.4875,43.009
12/31/2008,32.5,47.375,29.975,43.175,701634,42.5,31.575,98.7835,10.9615,44.3083,47.8957
1/30/2009,43.25,47.175,30.55,31.65,635156,47.375,29.975,98.8985,10.6165,40.1958,43.5537
2/27/2009,32.975,38.25,25.025,26.525,4165266,47.175,30.55,99.5121,8.4779,34.9667,41.7415
3/31/2009,25.125,31.675,22.575,27.125,2112548,38.25,25.025,99.9858,6.7892,32.3083,42.0456
